Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	EC number	Organism (ID)	Rhea ID	AlphaFoldDB	PDB	BRENDA	BioCyc	PathwayCommons	SABIO-RK	Reactome	PlantReactome	SIGNOR	SignaLink	UniPathway
Q04759	reviewed	KPCT_HUMAN	Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)	PRKCQ PRKCT	Homo sapiens (Human)	2.7.11.13	9606	RHEA:17989 RHEA:46608	Q04759;	1XJD;2ENJ;2ENN;2ENZ;2JED;4Q9Z;4RA5;5F9E;	2.7.11.13;		Q04759;	Q04759;	R-HSA-111465;R-HSA-114508;R-HSA-202424;R-HSA-2514859;R-HSA-2871837;R-HSA-373752;R-HSA-418597;R-HSA-8936459;R-HSA-9648002;		Q04759;	Q04759;	
Q04760	reviewed	LGUL_HUMAN	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	GLO1	Homo sapiens (Human)	4.4.1.5	9606	RHEA:19069	Q04760;	1BH5;1FRO;1QIN;1QIP;3VW9;3W0T;3W0U;7WSZ;7WT0;7WT1;7WT2;	4.4.1.5;		Q04760;	Q04760;	R-HSA-70268;		Q04760;	Q04760;	UPA00619;
Q04771	reviewed	ACVR1_HUMAN	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2	Homo sapiens (Human)	2.7.11.30	9606	RHEA:44880 RHEA:18673	Q04771;	3H9R;3MTF;3OOM;3Q4U;4BGG;4C02;4DYM;5OXG;5OY6;5S75;5S76;5S77;5S78;5S79;5S7A;5S7B;5S7C;5S7D;5S7E;5S7F;5S7G;5S7H;5S7I;5S7J;5S7K;5S7L;5S7M;5S7N;5S7O;5S7P;5S7Q;5S7R;5S7S;5S7T;5S7U;5S7V;5S7W;5S7X;5S7Y;5S7Z;5S80;5S81;5S82;5S83;5S84;5S85;5S86;5S87;5S88;5S89;5S8A;5S8B;5S9K;6ACR;6EIX;6GI6;6GIN;6GIP;6I1S;6JUX;6SRH;6SZM;6T6D;6T8N;6TN8;6UNQ;6UNR;6UNS;6Z36;6ZGC;7A21;7C3G;7NNS;7YRU;8C7W;8C7Z;	2.7.10.2;		Q04771;				Q04771;	Q04771;	
Q04828	reviewed	AK1C1_HUMAN	Aldo-keto reductase family 1 member C1 (EC 1.1.1.-) (EC 1.1.1.112) (EC 1.1.1.209) (EC 1.1.1.210) (EC 1.1.1.357) (EC 1.1.1.51) (EC 1.1.1.53) (EC 1.1.1.62) (EC 1.3.1.20) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149) (Chlordecone reductase homolog HAKRC) (Dihydrodiol dehydrogenase 1) (DD1) (High-affinity hepatic bile acid-binding protein) (HBAB)	AKR1C1 DDH DDH1	Homo sapiens (Human)	1.1.1.-; 1.1.1.112; 1.1.1.149; 1.1.1.209; 1.1.1.210; 1.1.1.357; 1.1.1.51; 1.1.1.53; 1.1.1.62; 1.3.1.20	9606	RHEA:34783 RHEA:34779 RHEA:15857 RHEA:15853 RHEA:42112 RHEA:42108 RHEA:16729 RHEA:16317 RHEA:16321 RHEA:42116 RHEA:16297 RHEA:42004 RHEA:42120 RHEA:20377 RHEA:42156 RHEA:42124 RHEA:24616 RHEA:24612 RHEA:14981 RHEA:42168 RHEA:22944 RHEA:65496 RHEA:53120	Q04828;	1MRQ;3C3U;3GUG;3NTY;4YVP;6A7A;6IJX;	1.1.1.149;1.1.1.270;1.1.1.357;1.1.1.50;1.3.1.20;	MetaCyc:HS10741-MONOMER;	Q04828;	Q04828;	R-HSA-193368;R-HSA-193775;R-HSA-193807;R-HSA-975634;R-HSA-9757110;		Q04828;	Q04828;	
Q04912	reviewed	RON_HUMAN	Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]	MST1R PTK8 RON	Homo sapiens (Human)	2.7.10.1	9606	RHEA:10596	Q04912;	3PLS;4FWW;4QT8;	2.7.10.1;		Q04912;		R-HSA-8852405;		Q04912;	Q04912;	
Q05086	reviewed	UBE3A_HUMAN	Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54)	UBE3A E6AP EPVE6AP HPVE6A	Homo sapiens (Human)	2.3.2.26	9606		Q05086;	1C4Z;1D5F;1EQX;2KR1;4GIZ;4XR8;6SJV;6SLM;6TGK;6U19;7Q41;7QPB;8ENP;8EPT;8R1F;8R1G;	2.3.2.26;		Q05086;		R-HSA-983168;		Q05086;	Q05086;	UPA00143;
Q05193	reviewed	DYN1_HUMAN	Dynamin-1 (EC 3.6.5.5) (Dynamin) (Dynamin I)	DNM1 DNM	Homo sapiens (Human)	3.6.5.5	9606	RHEA:19669	Q05193;	1DYN;2DYN;2X2E;2X2F;3SNH;3ZYC;3ZYS;4UUD;4UUK;5D3Q;6DLU;6DLV;6S9A;7AX3;	3.6.5.5;		Q05193;		R-HSA-166016;R-HSA-177504;R-HSA-190873;R-HSA-196025;R-HSA-2132295;R-HSA-3928665;R-HSA-437239;R-HSA-8856828;		Q05193;	Q05193;	
Q05209	reviewed	PTN12_HUMAN	Tyrosine-protein phosphatase non-receptor type 12 (EC 3.1.3.48) (PTP-PEST) (Protein-tyrosine phosphatase G1) (PTPG1)	PTPN12	Homo sapiens (Human)	3.1.3.48	9606	RHEA:10684	Q05209;	5HDE;5J8R;5O2P;	3.1.3.16;3.1.3.48;		Q05209;		R-HSA-1250196;R-HSA-182971;R-HSA-186797;R-HSA-8863795;R-HSA-9008059;R-HSA-9634285;		Q05209;	Q05209;	
Q05329	reviewed	DCE2_HUMAN	Glutamate decarboxylase 2 (EC 4.1.1.15) (65 kDa glutamic acid decarboxylase) (GAD-65) (Glutamate decarboxylase 65 kDa isoform)	GAD2 GAD65	Homo sapiens (Human)	4.1.1.15	9606	RHEA:17785	Q05329;	1ES0;2OKK;	4.1.1.15;	MetaCyc:HS06208-MONOMER;	Q05329;	Q05329;	R-HSA-888568;R-HSA-888590;R-HSA-9022927;		Q05329;	Q05329;	
Q05397	reviewed	FAK1_HUMAN	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	PTK2 FAK FAK1	Homo sapiens (Human)	2.7.10.2	9606	RHEA:10596	Q05397;	1K04;1K05;1MP8;1OW6;1OW7;1OW8;2ETM;2IJM;3B71;3BZ3;3PXK;3S9O;4EBV;4EBW;4GU6;4GU9;4I4E;4I4F;4K8A;4K9Y;4KAB;4KAO;4NY0;4Q9S;6I8Z;6LES;6PW8;6YOJ;6YQ1;6YR9;6YT6;6YVS;6YVY;6YXV;7PI4;7W7Z;7W8B;7W8I;7W9U;	2.7.10.2;		Q05397;		R-HSA-111465;R-HSA-2029482;R-HSA-354192;R-HSA-354194;R-HSA-372708;R-HSA-375165;R-HSA-391160;R-HSA-3928662;R-HSA-418885;R-HSA-4420097;R-HSA-5663213;R-HSA-5673001;R-HSA-8874081;R-HSA-9009391;R-HSA-9634638;R-HSA-9664422;		Q05397;	Q05397;	
Q05655	reviewed	KPCD_HUMAN	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	PRKCD PKCD	Homo sapiens (Human)	2.7.10.2; 2.7.11.13	9606	RHEA:17989 RHEA:46608 RHEA:10596	Q05655;	1YRK;2YUU;	2.7.11.13;		Q05655;	Q05655;	R-HSA-111465;R-HSA-111933;R-HSA-114508;R-HSA-1250196;R-HSA-1489509;R-HSA-2029485;R-HSA-418597;R-HSA-450520;R-HSA-5218921;R-HSA-5607764;R-HSA-5668599;R-HSA-6798695;R-HSA-877300;R-HSA-9755511;		Q05655;	Q05655;	
Q05683	reviewed	DCE2_RAT	Glutamate decarboxylase 2 (EC 4.1.1.15) (65 kDa glutamic acid decarboxylase) (GAD-65) (Glutamate decarboxylase 65 kDa isoform)	Gad2 Gad65	Rattus norvegicus (Rat)	4.1.1.15	10116	RHEA:17785	Q05683;	3CUP;	4.1.1.15;			Q05683;	R-RNO-888568;R-RNO-888590;				
Q05754	reviewed	DOPO_RAT	Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase]	Dbh	Rattus norvegicus (Rat)	1.14.17.1	10116	RHEA:19117	Q05754;	1ZHB;	1.14.17.1;				R-RNO-209905;				UPA00748;
Q05769	reviewed	PGH2_MOUSE	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (Glucocorticoid-regulated inflammatory cyclooxygenase) (Gripghs) (Macrophage activation-associated marker protein P71/73) (PES-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2) (TIS10 protein)	Ptgs2 Cox-2 Cox2 Pghs-b Tis10	Mus musculus (Mouse)	1.14.99.1	10090	RHEA:23728 RHEA:42596 RHEA:42600 RHEA:50444 RHEA:50448 RHEA:50424 RHEA:50432 RHEA:54204 RHEA:54208 RHEA:54212 RHEA:54216 RHEA:48856 RHEA:53684 RHEA:53680 RHEA:53676 RHEA:50864 RHEA:50860 RHEA:50856 RHEA:50852 RHEA:50848 RHEA:50200 RHEA:48836 RHEA:48840 RHEA:50196 RHEA:48852 RHEA:48820 RHEA:48812 RHEA:48816 RHEA:48808 RHEA:48804 RHEA:45288 RHEA:45292 RHEA:42284 RHEA:42280 RHEA:75447 RHEA:75459 RHEA:75451 RHEA:75455	Q05769;	1CVU;1CX2;1DDX;1PXX;3HS5;3HS6;3HS7;3KRK;3LN0;3LN1;3MDL;3MQE;3NT1;3NTB;3NTG;3OLT;3OLU;3PGH;3Q7D;3QH0;3QMO;3RR3;3TZI;4COX;4E1G;4FM5;4M10;4M11;4OTJ;4OTY;4PH9;4RRW;4RRX;4RRY;4RRZ;4RS0;4RUT;4Z0L;5COX;5FDQ;5JVY;5JVZ;5JW1;5W58;6BL3;6BL4;6COX;6OFY;6V3R;8ET0;	1.14.99.1;				R-MMU-197264;R-MMU-2142770;R-MMU-2162123;R-MMU-9018677;R-MMU-9018679;R-MMU-9025094;R-MMU-9027604;				UPA00662;
Q05816	reviewed	FABP5_MOUSE	Fatty acid-binding protein 5 (Epidermal-type fatty acid-binding protein) (E-FABP) (Fatty acid-binding protein, epidermal) (Keratinocyte lipid-binding protein) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP)	Fabp5 Fabpe Klbp Mal1	Mus musculus (Mouse)		10090	RHEA:45256 RHEA:45264 RHEA:33655	Q05816;	4AZN;4AZO;4AZP;4AZQ;7FYW;					R-MMU-163560;R-MMU-5362517;R-MMU-6798695;				
Q05909	reviewed	PTPRG_MOUSE	Receptor-type tyrosine-protein phosphatase gamma (Protein-tyrosine phosphatase gamma) (R-PTP-gamma) (EC 3.1.3.48)	Ptprg	Mus musculus (Mouse)	3.1.3.48	10090	RHEA:10684	Q05909;	3JXG;3KLD;5E5U;									
Q05923	reviewed	DUS2_HUMAN	Dual specificity protein phosphatase 2 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PAC-1)	DUSP2 PAC1	Homo sapiens (Human)	3.1.3.16; 3.1.3.48	9606	RHEA:10684 RHEA:47004	Q05923;	1M3G;	3.1.3.16;		Q05923;		R-HSA-112409;R-HSA-5675221;		Q05923;	Q05923;	
Q05940	reviewed	VMAT2_HUMAN	Synaptic vesicular amine transporter (Monoamine transporter) (Solute carrier family 18 member 2) (Vesicular amine transporter 2) (VAT2)	SLC18A2 SVMT VMAT2	Homo sapiens (Human)		9606	RHEA:73743 RHEA:73739 RHEA:73755	Q05940;	8JSW;8JT9;8JTA;8JTC;8T69;8T6A;8T6B;8THR;			Q05940;		R-HSA-181429;R-HSA-181430;R-HSA-212676;R-HSA-442660;		Q05940;	Q05940;	
Q06124	reviewed	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	3.1.3.48	9606	RHEA:10684	Q06124;	2SHP;3B7O;3MOW;3O5X;3TKZ;3TL0;3ZM0;3ZM1;3ZM2;3ZM3;4DGP;4DGX;4GWF;4H1O;4H34;4JE4;4JEG;4JMG;4NWF;4NWG;4OHD;4OHE;4OHH;4OHI;4OHL;4PVG;4QSY;4RDD;5BK8;5DF6;5EHP;5EHR;5I6V;5IBM;5IBS;5X7B;5X94;5XZR;6ATD;6BMR;6BMU;6BMV;6BMW;6BMX;6BMY;6BN5;6CMP;6CMQ;6CMR;6CMS;6CRF;6CRG;6MD7;6MD9;6MDA;6MDB;6MDC;6MDD;6R5G;6WU8;7EMN;7JVM;7JVN;7R75;7R7D;7R7I;7R7L;7RCT;7TVJ;7VXG;7XHQ;8B5Y;8CBH;8GWW;8T6D;8T6G;8T7Q;8T8Q;8WFY;	3.1.3.48;		Q06124;	Q06124;	R-HSA-1059683;R-HSA-109704;R-HSA-110056;R-HSA-112411;R-HSA-114604;R-HSA-1170546;R-HSA-1257604;R-HSA-1295596;R-HSA-1433557;R-HSA-180292;R-HSA-186763;R-HSA-210990;R-HSA-210993;R-HSA-2219530;R-HSA-2586552;R-HSA-388841;R-HSA-389513;R-HSA-389948;R-HSA-391160;R-HSA-418886;R-HSA-432142;R-HSA-512988;R-HSA-5654689;R-HSA-5654693;R-HSA-5654695;R-HSA-5654700;R-HSA-5654706;R-HSA-5654710;R-HSA-5654712;R-HSA-5654720;R-HSA-5654726;R-HSA-5654727;R-HSA-5654732;R-HSA-5654733;R-HSA-6811558;R-HSA-877312;R-HSA-8853659;R-HSA-8854691;R-HSA-8865999;R-HSA-8934593;R-HSA-9008059;R-HSA-9028731;R-HSA-909733;R-HSA-912694;R-HSA-936964;R-HSA-9607240;R-HSA-9645135;R-HSA-9674555;R-HSA-9680350;R-HSA-9702518;R-HSA-9703648;R-HSA-9705671;		Q06124;	Q06124;	
Q06187	reviewed	BTK_HUMAN	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	2.7.10.2	9606	RHEA:10596	Q06187;	1AWW;1AWX;1B55;1BTK;1BWN;1K2P;1QLY;2GE9;2Z0P;3GEN;3K54;3OCS;3OCT;3P08;3PIX;3PIY;3PIZ;3PJ1;3PJ2;3PJ3;4NWM;4OT5;4OT6;4OTF;4OTQ;4OTR;4RFY;4RFZ;4RG0;4RX5;4YHF;4Z3V;4ZLY;4ZLZ;5BPY;5BQ0;5FBN;5FBO;5J87;5JRS;5KUP;5P9F;5P9G;5P9H;5P9I;5P9J;5P9K;5P9L;5P9M;5T18;5U9D;5VFI;5VGO;5XYZ;5ZZ4;6AUA;6AUB;6BIK;6BKE;6BKH;6BKW;6BLN;6DI0;6DI1;6DI3;6DI5;6DI9;6E4F;6EP9;6HRP;6HRT;6HTF;6J6M;6N9P;6NFH;6NFI;6NZM;6O8I;6OMU;6S90;6TFP;6TSE;6TT2;6TUH;6TVN;6VXQ;6W06;6W07;6W7O;6W8I;6X3N;6X3O;6X3P;6XE4;6YYF;6YYG;6YYK;7KXL;7KXM;7KXN;7KXO;7KXP;7KXQ;7L5O;7L5P;7LTY;7LTZ;7N4Q;7N4R;7N4S;7N5O;7N5R;7N5X;7N5Y;7R60;7R61;7YC9;8DSO;8E2M;8EJB;8FLG;8FLH;8FLL;8FLN;8FLV;	2.7.10.2;		Q06187;		R-HSA-1236974;R-HSA-166058;R-HSA-2029482;R-HSA-2424491;R-HSA-2871809;R-HSA-416476;R-HSA-416482;R-HSA-5602498;R-HSA-5603041;R-HSA-5663213;R-HSA-8964315;R-HSA-9664422;R-HSA-9679191;R-HSA-983695;		Q06187;	Q06187;	
Q06210	reviewed	GFPT1_HUMAN	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)	GFPT1 GFAT GFPT	Homo sapiens (Human)	2.6.1.16	9606	RHEA:13237	Q06210;	2V4M;2ZJ3;2ZJ4;6R4E;6R4F;6R4G;6R4H;6R4I;6R4J;6SVM;6SVO;6SVP;6SVQ;6ZMJ;6ZMK;7NDL;	2.6.1.16;	MetaCyc:HS09974-MONOMER;	Q06210;		R-HSA-381038;R-HSA-4085023;R-HSA-446210;		Q06210;	Q06210;	UPA00113;
Q06278	reviewed	AOXA_HUMAN	Aldehyde oxidase (EC 1.2.3.1) (Aldehyde oxidase 1) (Azaheterocycle hydroxylase) (EC 1.17.3.-)	AOX1 AO	Homo sapiens (Human)	1.17.3.-; 1.2.3.1	9606	RHEA:16829 RHEA:56736	Q06278;	4UHW;4UHX;5EPG;6Q6Q;7OPN;7ORC;8EMT;	1.2.3.1;	MetaCyc:ENSG00000138356-MONOMER;	Q06278;	Q06278;	R-HSA-964975;			Q06278;	
Q06418	reviewed	TYRO3_HUMAN	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)	TYRO3 BYK DTK RSE SKY TIF	Homo sapiens (Human)	2.7.10.1	9606	RHEA:10596	Q06418;	1RHF;	2.7.10.1;		Q06418;				Q06418;	Q06418;	
Q06486	reviewed	KC1D_RAT	Casein kinase I isoform delta (CKI-delta) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	Csnk1d Hckid	Rattus norvegicus (Rat)	2.7.11.1; 2.7.11.26	10116	RHEA:17989 RHEA:46608 RHEA:12801 RHEA:53904	Q06486;	1CKI;1CKJ;	2.7.11.1;				R-RNO-204005;R-RNO-2565942;R-RNO-380259;R-RNO-380270;R-RNO-380284;R-RNO-380320;R-RNO-5620912;R-RNO-6791226;R-RNO-8854518;				
Q06520	reviewed	ST2A1_HUMAN	Sulfotransferase 2A1 (ST2A1) (EC 2.8.2.2) (Bile salt sulfotransferase) (EC 2.8.2.14) (Dehydroepiandrosterone sulfotransferase) (DHEA-ST) (DHEA-ST8) (Hydroxysteroid Sulfotransferase) (HST) (ST2) (SULT2A3)	SULT2A1 HST STD	Homo sapiens (Human)	2.8.2.14; 2.8.2.2	9606	RHEA:22552 RHEA:52344 RHEA:52348 RHEA:52352 RHEA:51216 RHEA:52356 RHEA:60644 RHEA:14013 RHEA:51064	Q06520;	1EFH;1J99;1OV4;2QP3;2QP4;3F3Y;4IFB;		MetaCyc:HS02732-MONOMER;	Q06520;	Q06520;	R-HSA-156584;R-HSA-1989781;R-HSA-9753281;			Q06520;	
Q06830	reviewed	PRDX1_HUMAN	Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)	PRDX1 PAGA PAGB TDPX2	Homo sapiens (Human)	1.11.1.24	9606	RHEA:62620	Q06830;	2RII;3HY2;4XCS;7LJ1;7WET;7WEU;	1.11.1.24;	MetaCyc:HS04134-MONOMER;	Q06830;		R-HSA-3299685;R-HSA-5628897;R-HSA-8862803;R-HSA-9818027;		Q06830;	Q06830;	
Q07009	reviewed	CAN2_RAT	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	Capn2	Rattus norvegicus (Rat)	3.4.22.53	10116		Q07009;	1DF0;1MDW;1QXP;1U5I;3BOW;3DF0;	3.4.22.53;				R-RNO-1474228;				
Q07075	reviewed	AMPE_HUMAN	Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (Differentiation antigen gp160) (CD antigen CD249)	ENPEP	Homo sapiens (Human)	3.4.11.7	9606		Q07075;	4KX7;4KX8;4KX9;4KXA;4KXB;4KXC;4KXD;	3.4.11.7;	MetaCyc:HS06560-MONOMER;	Q07075;		R-HSA-2022377;			Q07075;	
Q07343	reviewed	PDE4B_HUMAN	3',5'-cyclic-AMP phosphodiesterase 4B (EC 3.1.4.53) (DPDE4) (PDE32) (cAMP-specific phosphodiesterase 4B)	PDE4B DPDE4	Homo sapiens (Human)	3.1.4.53	9606	RHEA:25277	Q07343;	1F0J;1RO6;1RO9;1ROR;1TB5;1XLX;1XLZ;1XM4;1XM6;1XMU;1XMY;1XN0;1XOS;1XOT;1Y2H;1Y2J;2CHM;2QYL;3D3P;3FRG;3G45;3GWT;3HC8;3HDZ;3HMV;3KKT;3LY2;3O0J;3O56;3O57;3W5E;3WD9;4KP6;4MYQ;4NW7;4WZI;4X0F;5K6J;5LAQ;5OHJ;6BOJ;8OEG;	3.1.4.53;		Q07343;		R-HSA-180024 [Q07343-3];		Q07343;	Q07343;	UPA00762;
Q07523	reviewed	HAOX2_RAT	2-Hydroxyacid oxidase 2 (HAOX2) (EC 1.1.3.15) ((S)-2-hydroxy-acid oxidase, peroxisomal) (Long chain alpha-hydroxy acid oxidase) (Long-chain L-2-hydroxy acid oxidase) (LCHAO)	Hao2 Hao3 Haox2	Rattus norvegicus (Rat)	1.1.3.15	10116	RHEA:16789 RHEA:67940 RHEA:67944 RHEA:69372 RHEA:68968	Q07523;	1TB3;3SGZ;	1.1.3.15;			Q07523;	R-RNO-390918;R-RNO-9033241;				
Q07832	reviewed	PLK1_MOUSE	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	Plk1 Plk	Mus musculus (Mouse)	2.7.11.21	10090	RHEA:17989 RHEA:46608	Q07832;	5DMS;5DMV;5DNJ;5X3S;	2.7.11.21;				R-MMU-141444;R-MMU-156711;R-MMU-162658;R-MMU-174178;R-MMU-176412;R-MMU-176417;R-MMU-2299718;R-MMU-2467813;R-MMU-2500257;R-MMU-2565942;R-MMU-2980767;R-MMU-380259;R-MMU-380270;R-MMU-380284;R-MMU-380320;R-MMU-5620912;R-MMU-5663220;R-MMU-68877;R-MMU-68881;R-MMU-68884;R-MMU-69273;R-MMU-8852276;R-MMU-8854518;R-MMU-9648025;				
Q07864	reviewed	DPOE1_HUMAN	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase II subunit A)	POLE POLE1	Homo sapiens (Human)	2.7.7.7; 3.1.11.-	9606	RHEA:22508	Q07864;	5VBN;7PFO;7PLO;	2.7.7.7;		Q07864;		R-HSA-110314;R-HSA-5651801;R-HSA-5656169;R-HSA-5685942;R-HSA-5696397;R-HSA-5696400;R-HSA-6782135;R-HSA-6782210;R-HSA-68952;R-HSA-68962;		Q07864;	Q07864;	
Q07912	reviewed	ACK1_HUMAN	Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)	TNK2 ACK1	Homo sapiens (Human)	2.7.10.2; 2.7.11.1	9606	RHEA:10596 RHEA:17989 RHEA:46608	Q07912;	1CF4;1U46;1U4D;1U54;3EQP;3EQR;4EWH;4HZR;4HZS;4ID7;5ZXB;6VQM;7KP6;8FE9;8FZ3;8THA;	2.7.10.2;		Q07912;				Q07912;	Q07912;	
Q08188	reviewed	TGM3_HUMAN	Protein-glutamine gamma-glutamyltransferase E (EC 2.3.2.13) (Transglutaminase E) (TG(E)) (TGE) (TGase E) (Transglutaminase-3) (TGase-3) [Cleaved into: Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain]	TGM3	Homo sapiens (Human)	2.3.2.13	9606	RHEA:54816	Q08188;	1L9M;1L9N;1NUD;1NUF;1NUG;8OXV;8OXW;8OXX;8OXY;	2.3.2.13;		Q08188;					Q08188;	
Q08209	reviewed	PP2BA_HUMAN	Protein phosphatase 3 catalytic subunit alpha (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calcineurin A alpha) (Calmodulin-dependent calcineurin A subunit alpha isoform) (CNA alpha) (Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform)	PPP3CA CALNA CNA	Homo sapiens (Human)	3.1.3.16	9606	RHEA:20629 RHEA:47004	Q08209;	1AUI;1M63;1MF8;2JOG;2JZI;2P6B;2R28;2W73;3LL8;4F0Z;4Q5U;5C1V;5SVE;6NUC;6NUF;6NUU;6UUQ;	3.1.3.16;		Q08209;		R-HSA-180024;R-HSA-2025928;R-HSA-2871809;R-HSA-4086398;R-HSA-5607763;		Q08209;	Q08209;	
Q08211	reviewed	DHX9_HUMAN	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2	Homo sapiens (Human)	3.6.4.13	9606	RHEA:13065	Q08211;	3LLM;3VYX;3VYY;8SZP;	3.6.4.13;		Q08211;		R-HSA-1810476;R-HSA-3134963;R-HSA-72163;R-HSA-9833482;		Q08211;	Q08211;	
Q08257	reviewed	QOR_HUMAN	Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin)	CRYZ	Homo sapiens (Human)	1.6.5.5	9606	RHEA:14269	Q08257;	1YB5;	1.3.1.27;1.6.5.5;		Q08257;	Q08257;				Q08257;	
Q08345	reviewed	DDR1_HUMAN	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	Homo sapiens (Human)	2.7.10.1	9606	RHEA:10596	Q08345;	3ZOS;4AG4;4BKJ;4CKR;5BVK;5BVN;5BVO;5BVW;5FDP;5FDX;5SAU;5SAV;5SAW;5SAX;5SAY;5SAZ;5SB0;5SB1;5SB2;6BRJ;6BSD;6FEW;6FEX;6FIL;6FIN;6FIO;6FIQ;6GWR;6HP9;6Y23;7BCM;7BE6;7FEH;8PE9;	2.7.10.1;		Q08345;		R-HSA-3000171;		Q08345;	Q08345;	
